team,match,placement_points,kill_points,total_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,relative_circle_favor
NV,13,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
P1E,13,6,2,8,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,-0.753842195
PEC,13,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
RUM,13,0,6,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
SIM,13,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
SSG,13,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
TS,13,10,16,26,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,NA,8,6,0.75,-0.753842195
WC,13,4,1,5,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
BMG,14,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
C9,14,0,2,2,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
DNL,14,10,3,13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,9,5,0.555555556,-0.94828664
END,14,2,0,2,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,7,2,0.285714286,-1.218127909
EU,14,4,4,8,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,-0.753842195
EXG,14,0,5,5,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
GG,14,0,3,3,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
LZR,14,1,5,6,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,NA,NA,NA,6,2,0.333333333,-1.170508862
NV,14,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
P1E,14,3,6,9,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,NA,NA,7,4,0.571428571,-0.932413624
PEC,14,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
RUM,14,6,8,14,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,9,5,0.555555556,-0.94828664
SIM,14,5,4,9,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,9,7,0.777777778,-0.726064417
SSG,14,0,7,7,0,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,4,4,1,-0.503842195
TS,14,0,4,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
WC,14,1,8,9,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,-0.932413624
BMG,15,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
C9,15,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
DNL,15,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,3,2,0.666666667,-0.837175528
END,15,3,2,5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,8,1,0.125,-1.378842195
EU,15,0,5,5,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
EXG,15,1,5,6,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
GG,15,6,3,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,9,7,0.777777778,-0.726064417
LZR,15,10,7,17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,9,6,0.666666667,-0.837175528
NV,15,5,8,13,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,9,6,0.666666667,-0.837175528
P1E,15,0,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
PEC,15,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
RUM,15,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
SIM,15,1,10,11,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
SSG,15,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
TS,15,2,1,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,-0.670508862
WC,15,4,3,7,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,8,0,0,-1.503842195
BMG,16,0,2,2,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,5,4,0.8,-0.703842195
C9,16,10,11,21,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9,8,0.888888889,-0.614953306
DNL,16,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
END,16,1,6,7,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
EU,16,6,8,14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,9,5,0.555555556,-0.94828664
EXG,16,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
GG,16,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
LZR,16,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
NV,16,3,5,8,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,-0.932413624
P1E,16,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
PEC,16,4,1,5,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,-0.789556481
RUM,16,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
SIM,16,5,6,11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,7,0.777777778,-0.726064417
SSG,16,1,5,6,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
TS,16,2,4,6,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,-0.670508862
WC,16,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
BMG,17,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
C9,17,4,8,12,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,NA,8,5,0.625,-0.878842195
DNL,17,0,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
END,17,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
EU,17,6,10,16,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,9,1,0.111111111,-1.392731084
EXG,17,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
GG,17,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
LZR,17,3,7,10,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,NA,8,4,0.5,-1.003842195
NV,17,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
P1E,17,5,3,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,8,0.888888889,-0.614953306
PEC,17,0,3,3,0,1,1,1,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
RUM,17,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
SIM,17,2,0,2,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,NA,NA,NA,6,3,0.5,-1.003842195
SSG,17,1,6,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
TS,17,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,8,0.888888889,-0.614953306
WC,17,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,-0.503842195
BMG,18,2,8,10,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,7,4,0.571428571,-0.932413624
C9,18,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
DNL,18,3,1,4,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,-0.789556481
END,18,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
EU,18,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
EXG,18,6,4,10,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,9,3,0.333333333,-1.170508862
GG,18,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
LZR,18,4,9,13,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,NA,NA,7,6,0.857142857,-0.646699338
NV,18,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
P1E,18,5,10,15,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,NA,8,2,0.25,-1.253842195
PEC,18,0,4,4,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
RUM,18,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
SIM,18,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
SSG,18,10,9,19,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,9,3,0.333333333,-1.170508862
TS,18,1,2,3,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,6,1,0.166666667,-1.337175528
WC,18,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,NA,NA,NA,6,3,0.5,-1.003842195
BMG,19,0,3,3,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
C9,19,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
DNL,19,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
END,19,3,1,4,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,7,1,0.142857143,-1.360985052
EU,19,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
EXG,19,5,4,9,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,-0.789556481
GG,19,10,11,21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,8,6,0.75,-0.753842195
LZR,19,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
NV,19,1,4,5,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,NA,NA,6,5,0.833333333,-0.670508862
P1E,19,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
PEC,19,4,4,8,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,7,1,0.142857143,-1.360985052
RUM,19,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
SIM,19,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
SSG,19,2,7,9,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,-1.503842195
TS,19,6,16,22,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,NA,8,4,0.5,-1.003842195
WC,19,0,5,5,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
BMG,20,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
C9,20,3,6,9,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,7,2,0.285714286,-1.218127909
DNL,20,5,6,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,8,7,0.875,-0.628842195
END,20,0,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
EU,20,4,4,8,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,NA,NA,7,4,0.571428571,-0.932413624
EXG,20,2,1,3,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,NA,NA,7,2,0.285714286,-1.218127909
GG,20,0,3,3,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
LZR,20,10,6,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,9,6,0.666666667,-0.837175528
NV,20,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
P1E,20,1,4,5,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,6,2,0.333333333,-1.170508862
PEC,20,6,9,15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,9,7,0.777777778,-0.726064417
RUM,20,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
SIM,20,0,4,4,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
SSG,20,0,7,7,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,NA,NA,NA,6,4,0.666666667,-0.837175528
TS,20,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
WC,20,1,4,5,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,-1.503842195
BMG,21,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
C9,21,5,6,11,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,8,4,0.5,-1.003842195
DNL,21,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
END,21,6,12,18,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,9,5,0.555555556,-0.94828664
EU,21,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
EXG,21,4,7,11,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,7,5,0.714285714,-0.789556481
GG,21,2,4,6,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,-0.670508862
LZR,21,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
NV,21,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
P1E,21,3,4,7,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,7,5,0.714285714,-0.789556481
PEC,21,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
RUM,21,10,9,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,9,6,0.666666667,-0.837175528
SIM,21,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
SSG,21,1,2,3,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,6,3,0.5,-1.003842195
TS,21,1,3,4,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,6,2,0.333333333,-1.170508862
WC,21,0,6,6,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
BMG,22,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,5,4,0.8,-0.703842195
C9,22,5,4,9,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,9,6,0.666666667,-0.837175528
DNL,22,1,7,8,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,6,2,0.333333333,-1.170508862
END,22,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,9,6,0.666666667,-0.837175528
EU,22,0,2,2,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,6,1,0.166666667,-1.337175528
EXG,22,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
GG,22,1,2,3,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
LZR,22,0,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
NV,22,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
P1E,22,4,1,5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,8,2,0.25,-1.253842195
PEC,22,0,3,3,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
RUM,22,6,12,18,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,9,4,0.444444444,-1.059397751
SIM,22,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
SSG,22,2,6,8,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,-0.932413624
TS,22,0,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
WC,22,3,2,5,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,NA,NA,7,5,0.714285714,-0.789556481
BMG,23,0,4,4,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,NA,NA,6,5,0.833333333,-0.670508862
C9,23,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
DNL,23,1,2,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
END,23,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
EU,23,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
EXG,23,3,2,5,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,NA,NA,7,2,0.285714286,-1.218127909
GG,23,5,12,17,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,9,6,0.666666667,-0.837175528
LZR,23,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,NA,NA,NA,NA,5,4,0.8,-0.703842195
NV,23,10,9,19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,9,5,0.555555556,-0.94828664
P1E,23,6,12,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,8,0.888888889,-0.614953306
PEC,23,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,6,1,0.166666667,-1.337175528
RUM,23,0,8,8,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
SIM,23,2,3,5,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,NA,NA,7,4,0.571428571,-0.932413624
SSG,23,4,3,7,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,NA,8,2,0.25,-1.253842195
TS,23,1,2,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
WC,23,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
BMG,24,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
C9,24,1,6,7,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
DNL,24,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
END,24,1,9,10,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
EU,24,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
EXG,24,5,4,9,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,8,7,0.875,-0.628842195
GG,24,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
LZR,24,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
NV,24,4,3,7,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,NA,8,5,0.625,-0.878842195
P1E,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-0.503842195
PEC,24,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
RUM,24,3,3,6,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,-0.646699338
SIM,24,0,2,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
SSG,24,2,11,13,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,-1.503842195
TS,24,6,3,9,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,9,5,0.555555556,-0.94828664
WC,24,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9,8,0.888888889,-0.614953306
