team,match,day,week,placement_points,kill_points,total_points,cumulative_points,rolling_avg_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,34569_alive,34569_favorable,34569_favor_proportion,34569_favor_proportion_new,relative_circle_favor
GG,10,3,2,6,9,15,71,6.45459596,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,9,4,0.444444444,5,3,0.6,0.333333333,-1.161252445
LZR,10,3,2,4,1,5,66,6.667979798,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,8,7,0.875,4,4,1,0.5,-0.73069689
NV,10,3,2,0,4,4,54,5.576717172,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,3,1,0.333333333,0.2,-1.40569689
P1E,10,3,2,0,2,2,56,6.415454545,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,NA,NA,NA,6,4,0.666666667,4,3,0.75,0.5,-0.939030223
PEC,10,3,2,0,4,4,32,3.283434343,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
RUM,10,3,2,5,12,17,85,7.594444444,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
SA,10,3,2,3,1,4,49,4.779242424,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,8,4,0.5,4,3,0.75,0.375,-1.10569689
SIM,10,3,2,10,7,17,39,3.279494949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9,8,0.888888889,5,5,1,0.555555556,-0.716808001
SSG,10,3,2,0,6,6,49,4.960555556,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,3,2,0.666666667,0.4,-1.00569689
TS,10,3,2,0,3,3,59,6.236565657,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
WC,10,3,2,0,0,0,54,5.801969697,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,2,1,0.5,0.25,-1.35569689
BMG,11,3,2,0,1,1,55,5.199230769,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
C9,11,3,2,0,2,2,65,6.274296814,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
END,11,3,2,6,10,16,81,6.822727273,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,9,3,0.333333333,5,3,0.6,0.333333333,-1.272363556
EU,11,3,2,0,2,2,73,6.918640249,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
EXG,11,3,2,0,5,5,32,2.757715618,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
GG,11,3,2,0,5,5,76,6.848826729,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,4,1,0.25,0.166666667,-1.10569689
LZR,11,3,2,3,3,6,72,6.433364413,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,4,4,1,0.571428571,-0.748554033
NV,11,3,2,5,3,8,62,5.320947941,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,NA,8,2,0.25,4,1,0.25,0.125,-1.35569689
P1E,11,3,2,10,8,18,74,6.769300699,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
PEC,11,3,2,1,3,4,36,3.198818959,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
RUM,11,3,2,1,2,3,88,7.948290598,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
SA,11,3,2,0,0,0,49,4.615780886,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
SIM,11,3,2,0,1,1,40,3.517956488,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
SSG,11,3,2,2,4,6,55,4.762478632,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,NA,NA,7,2,0.285714286,4,1,0.25,0.142857143,-1.319982604
TS,11,3,2,0,4,4,63,6.405796426,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,3,1,0.333333333,0.2,-1.40569689
WC,11,3,2,4,6,10,64,5.70004662,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,4,4,1,0.571428571,-0.748554033
BMG,12,3,2,5,1,6,61,4.965897436,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9,1,0.111111111,5,0,0,0,-1.494585779
C9,12,3,2,1,6,7,72,6.133026973,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,NA,NA,NA,6,5,0.833333333,4,3,0.75,0.5,-0.772363556
END,12,3,2,0,2,2,83,6.884632035,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
EU,12,3,2,1,5,6,79,6.640862471,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
EXG,12,3,2,0,0,0,32,2.824382284,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
GG,12,3,2,4,6,10,86,6.918667999,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,4,1,0.25,0.142857143,-1.177125461
LZR,12,3,2,0,2,2,74,6.292094572,0,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,4,4,1,2,2,1,0.5,-0.60569689
NV,12,3,2,0,0,0,62,5.124122544,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
P1E,12,3,2,10,9,19,93,7.140729271,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
PEC,12,3,2,0,4,4,40,3.176596737,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
RUM,12,3,2,3,4,7,95,8.08003663,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,4,0,0,0,-1.60569689
SA,12,3,2,0,4,4,53,4.601495171,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
SIM,12,3,2,2,5,7,47,3.843353313,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,7,1,0.142857143,4,0,0,0,-1.462839747
SSG,12,3,2,0,2,2,57,4.721208791,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
TS,12,3,2,6,7,13,76,6.675637696,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
WC,12,3,2,0,4,4,68,5.671475191,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
BMG,13,4,2,0,2,2,63,4.739230769,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
C9,13,4,2,5,6,11,83,6.033026973,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,8,7,0.875,4,3,0.75,0.375,-0.73069689
END,13,4,2,3,5,8,91,6.891298701,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
EU,13,4,2,0,4,4,83,6.500862471,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
EXG,13,4,2,1,4,5,37,2.924382284,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,6,2,0.333333333,4,2,0.5,0.333333333,-1.272363556
GG,13,4,2,0,3,3,89,6.845334665,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
LZR,13,4,2,2,3,5,79,6.332094572,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,6,1,0.166666667,4,1,0.25,0.166666667,-1.439030223
NV,13,4,2,0,1,1,63,5.070789211,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
P1E,13,4,2,6,2,8,101,7.514062604,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,4,4,1,0.5,-0.85569689
PEC,13,4,2,0,0,0,40,3.096596737,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
RUM,13,4,2,0,6,6,101,7.94003663,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
SA,13,4,2,1,2,3,56,4.554828505,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,6,2,0.333333333,4,1,0.25,0.166666667,-1.272363556
SIM,13,4,2,0,1,1,48,3.97001998,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
SSG,13,4,2,0,0,0,57,4.647875458,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
TS,13,4,2,10,16,26,102,6.948971029,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,NA,8,6,0.75,4,2,0.5,0.25,-0.85569689
WC,13,4,2,4,1,5,73,5.778141858,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
BMG,14,4,2,0,0,0,63,4.564230769,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
C9,14,4,2,0,2,2,85,6.201208791,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
END,14,4,2,2,0,2,93,6.731071429,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,7,2,0.285714286,4,1,0.25,0.142857143,-1.319982604
EU,14,4,2,4,4,8,91,6.548589744,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,4,4,1,0.5,-0.85569689
EXG,14,4,2,0,5,5,42,2.955064103,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
GG,14,4,2,0,3,3,92,6.763516484,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
LZR,14,4,2,1,5,6,85,6.323003663,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,NA,NA,NA,6,2,0.333333333,4,2,0.5,0.333333333,-1.272363556
NV,14,4,2,0,1,1,64,5.006016484,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,3,2,0.666666667,0.4,-1.00569689
P1E,14,4,2,3,6,9,110,7.568608059,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,NA,NA,7,4,0.571428571,4,2,0.5,0.285714286,-1.034268318
PEC,14,4,2,0,2,2,42,3.029551282,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
RUM,14,4,2,6,8,14,115,7.82753663,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,9,5,0.555555556,5,2,0.4,0.222222222,-1.050141334
SA,14,4,2,10,3,13,69,4.551419414,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
SIM,14,4,2,5,4,9,57,4.230247253,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,9,7,0.777777778,5,4,0.8,0.444444444,-0.827919112
SSG,14,4,2,0,7,7,64,4.572875458,0,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,4,4,1,2,2,1,0.5,-0.60569689
TS,14,4,2,0,4,4,106,7.241016484,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,3,2,0.666666667,0.4,-1.00569689
WC,14,4,2,1,8,9,82,5.739505495,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,4,2,0.5,0.285714286,-1.034268318
BMG,15,4,2,0,1,1,64,4.335799397,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
C9,15,4,2,0,2,2,87,6.412973497,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
END,15,4,2,3,2,5,98,6.630091036,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,8,1,0.125,4,0,0,0,-1.48069689
EU,15,4,2,0,5,5,96,6.714276018,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
EXG,15,4,2,1,5,6,48,2.998201357,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
GG,15,4,2,6,3,9,101,6.553712562,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,9,7,0.777777778,5,4,0.8,0.444444444,-0.827919112
LZR,15,4,2,10,7,17,102,6.4308468,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
NV,15,4,2,5,8,13,77,4.984447856,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
P1E,15,4,2,0,2,2,112,7.430372764,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
PEC,15,4,2,0,0,0,42,2.95111991,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
RUM,15,4,2,0,2,2,117,7.667732708,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
SA,15,4,2,0,1,1,70,4.538674316,0,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,3,2,0.666666667,1,0,0,0,-0.939030223
SIM,15,4,2,1,10,11,68,4.399855096,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
SSG,15,4,2,0,4,4,68,4.575816634,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
TS,15,4,2,2,1,3,109,7.539055699,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,4,3,0.75,0.5,-0.772363556
WC,15,4,2,4,3,7,89,5.676760396,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,8,0,0,4,0,0,0,-1.60569689
BMG,16,4,2,0,2,2,66,4.222124183,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,5,4,0.8,3,3,1,0.6,-0.80569689
C9,16,4,2,10,11,21,108,6.469383754,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9,8,0.888888889,5,4,0.8,0.444444444,-0.716808001
END,16,4,2,1,6,7,105,6.452313259,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
EU,16,4,2,6,8,14,110,6.837352941,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
EXG,16,4,2,0,1,1,49,3.084526144,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
GG,16,4,2,0,3,3,104,6.340037348,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
LZR,16,4,2,0,2,2,104,6.626573296,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
NV,16,4,2,3,5,8,85,5.015217087,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,4,2,0.5,0.285714286,-1.034268318
P1E,16,4,2,0,0,0,112,7.376526611,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
PEC,16,4,2,4,1,5,47,2.935735294,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,4,3,0.75,0.428571429,-0.891411176
RUM,16,4,2,0,2,2,119,7.502775444,0,1,1,1,1,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,4,2,0.5,2,1,0.5,0.25,-1.10569689
SA,16,4,2,0,1,1,71,4.543802521,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
SIM,16,4,2,5,6,11,79,4.594726891,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,7,0.777777778,5,4,0.8,0.444444444,-0.827919112
SSG,16,4,2,1,5,6,74,4.810004669,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
TS,16,4,2,2,4,6,115,7.480936041,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,4,3,0.75,0.5,-0.772363556
WC,16,4,2,0,1,1,90,5.575905696,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
BMG,17,5,3,1,0,1,67,4.164229446,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
C9,17,5,3,4,8,12,120,6.52878225,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,NA,8,5,0.625,4,3,0.75,0.375,-0.98069689
END,17,5,3,0,4,4,109,6.32374183,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
EU,17,5,3,6,10,16,126,6.863668731,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,9,1,0.111111111,5,0,0,0,-1.494585779
EXG,17,5,3,0,0,0,49,3.200315617,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
GG,17,5,3,0,0,0,104,6.341541108,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
LZR,17,5,3,3,7,10,114,6.749129687,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,NA,8,4,0.5,4,2,0.5,0.25,-1.10569689
NV,17,5,3,0,1,1,86,5.100931373,0,1,1,1,1,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
P1E,17,5,3,5,3,8,120,7.236676987,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,8,0.888888889,5,4,0.8,0.444444444,-0.716808001
PEC,17,5,3,0,3,3,50,2.988366873,0,1,1,1,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
RUM,17,5,3,0,2,2,121,7.175707774,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
SA,17,5,3,0,3,3,74,4.379140867,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
SIM,17,5,3,2,0,2,81,4.706756966,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,NA,NA,NA,6,3,0.5,4,2,0.5,0.333333333,-1.10569689
SSG,17,5,3,1,6,7,81,5.043087375,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
TS,17,5,3,10,8,18,133,7.629808222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,8,0.888888889,5,4,0.8,0.444444444,-0.716808001
WC,17,5,3,0,1,1,91,5.425529756,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,NA,0,-0.60569689
BMG,18,5,3,2,8,10,77,4.120896113,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,7,4,0.571428571,4,3,0.75,0.428571429,-1.034268318
C9,18,5,3,0,0,0,120,6.66878225,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
END,18,5,3,0,1,1,110,6.177075163,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
EU,18,5,3,0,0,0,126,6.923668731,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
EXG,18,5,3,6,4,10,59,3.270315617,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,9,3,0.333333333,5,1,0.2,0.111111111,-1.272363556
GG,18,5,3,0,0,0,104,6.274874441,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
LZR,18,5,3,4,9,13,127,6.819129687,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,NA,NA,7,6,0.857142857,4,3,0.75,0.428571429,-0.748554033
NV,18,5,3,0,4,4,90,5.034264706,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
P1E,18,5,3,5,10,15,135,7.153343653,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,NA,8,2,0.25,4,2,0.5,0.25,-1.35569689
PEC,18,5,3,0,4,4,54,3.198366873,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
RUM,18,5,3,0,4,4,125,6.865707774,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,2,0.4,3,2,0.666666667,0.4,-1.20569689
SA,18,5,3,3,1,4,78,4.335807534,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,4,3,0.75,0.428571429,-0.891411176
SIM,18,5,3,0,3,3,84,4.720090299,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
SSG,18,5,3,10,9,19,100,5.296420709,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,9,3,0.333333333,5,3,0.6,0.333333333,-1.272363556
TS,18,5,3,1,2,3,136,7.776474888,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,6,1,0.166666667,4,1,0.25,0.166666667,-1.439030223
WC,18,5,3,1,0,1,92,5.258863089,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,NA,NA,NA,6,3,0.5,4,2,0.5,0.333333333,-1.10569689
BMG,19,5,3,0,3,3,80,4.067324684,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,6,2,0.333333333,4,1,0.25,0.166666667,-1.272363556
C9,19,5,3,0,1,1,121,6.661639393,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
END,19,5,3,3,1,4,114,6.14076564,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,7,1,0.142857143,4,1,0.25,0.142857143,-1.462839747
EU,19,5,3,0,0,0,126,6.824859207,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
EXG,19,5,3,5,4,9,68,3.438767998,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,4,3,0.75,0.428571429,-0.891411176
GG,19,5,3,10,11,21,125,6.251064917,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,8,6,0.75,4,3,0.75,0.375,-0.85569689
LZR,19,5,3,0,0,0,127,6.890558258,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
NV,19,5,3,1,4,5,95,4.914621849,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,NA,NA,6,5,0.833333333,4,4,1,0.666666667,-0.772363556
P1E,19,5,3,1,0,1,136,7.162867463,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
PEC,19,5,3,4,4,8,62,3.353724016,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,7,1,0.142857143,4,1,0.25,0.142857143,-1.462839747
RUM,19,5,3,0,0,0,125,6.749636346,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
